Store Type,# Store Nodes,# Concurrent Requests,Record Size (bytes),Num Records Generated,Write Records/s,Sigma Write Records/s,Write MB/s,Sigma Write MB/s,Read Records/s,Sigma Read Records/s,Reads MB/s,Sigma Reads MB/s
ETCD,5,25,128,512,463.670,0.592,0.057,0.000,96283.031,1152.277,11.753,0.000
ETCD,5,25,256,512,461.342,1.372,0.113,0.000,68526.470,629.673,16.730,0.000
ETCD,5,25,512,512,456.061,1.504,0.223,0.001,40825.118,4363.631,19.934,0.001
ETCD,5,25,1024,512,449.621,0.674,0.439,0.001,25564.874,225.547,24.966,0.001
ETCD,5,25,2048,512,467.879,64.771,0.914,0.127,13068.455,211.105,25.524,0.127
ETCD,5,25,4096,512,400.699,2.008,1.565,0.008,6930.149,43.809,27.071,0.008
ETCD,5,30,128,512,540.206,1.105,0.066,0.000,88751.324,7138.795,10.834,0.000
ETCD,5,30,256,512,554.632,37.995,0.135,0.009,68522.719,956.056,16.729,0.009
ETCD,5,30,512,512,536.225,11.915,0.262,0.006,43600.666,1966.853,21.289,0.006
ETCD,5,30,1024,512,537.986,37.694,0.525,0.037,22725.486,1100.326,22.193,0.037
ETCD,5,30,2048,512,497.374,11.576,0.971,0.023,13222.144,197.114,25.824,0.023
ETCD,5,30,4096,512,456.061,2.615,1.781,0.010,6885.018,45.281,26.895,0.010
ETCD,7,1,128,512,19.363,0.027,0.002,0.000,81487.410,19734.240,9.947,0.000
ETCD,7,1,256,512,19.346,0.024,0.005,0.000,64357.322,3246.102,15.712,0.000
ETCD,7,1,512,512,19.329,0.007,0.009,0.000,38283.678,3784.872,18.693,0.000
ETCD,7,1,1024,512,19.750,0.916,0.019,0.001,23558.486,1262.796,23.006,0.001
ETCD,7,1,2048,512,19.262,0.012,0.038,0.000,13308.282,187.160,25.993,0.000
ETCD,7,1,4096,512,20.164,2.164,0.079,0.008,6952.397,27.614,27.158,0.008
ETCD,7,5,128,512,95.045,0.154,0.012,0.000,91095.610,5249.478,11.120,0.000
ETCD,7,5,256,512,94.887,0.127,0.023,0.000,43580.477,3602.818,10.640,0.000
ETCD,7,5,512,512,94.713,0.079,0.046,0.000,37375.957,3957.579,18.250,0.000
ETCD,7,5,1024,512,94.673,0.129,0.092,0.000,23400.961,2020.286,22.853,0.000
ETCD,7,5,2048,512,94.026,0.585,0.184,0.001,13264.681,148.490,25.908,0.001
ETCD,7,5,4096,512,92.448,1.048,0.361,0.004,6880.335,62.402,26.876,0.004
ETCD,7,10,128,512,187.325,0.229,0.023,0.000,78244.387,19808.382,9.551,0.000
ETCD,7,10,256,512,187.738,0.542,0.046,0.000,44513.216,8516.067,10.867,0.000
ETCD,7,10,512,512,187.207,0.251,0.091,0.000,37310.048,5371.649,18.218,0.000
ETCD,7,10,1024,512,185.327,0.663,0.181,0.001,24085.186,1256.408,23.521,0.001
ETCD,7,10,2048,512,181.883,1.966,0.355,0.004,13040.950,128.150,25.471,0.004
ETCD,7,10,4096,512,176.272,0.565,0.689,0.002,6846.694,124.072,26.745,0.002
ETCD,7,15,128,512,281.433,6.872,0.034,0.001,79090.218,21810.002,9.655,0.001
ETCD,7,15,256,512,277.504,0.202,0.068,0.000,46713.617,8155.887,11.405,0.000
ETCD,7,15,512,512,275.351,0.840,0.134,0.000,42158.040,3305.610,20.585,0.000
ETCD,7,15,1024,512,274.041,1.140,0.268,0.001,24552.543,1312.420,23.977,0.001
ETCD,7,15,2048,512,264.577,3.598,0.517,0.007,12929.443,189.659,25.253,0.007
ETCD,7,15,4096,512,255.489,7.919,0.998,0.031,6925.311,65.777,27.052,0.031
ETCD,7,20,128,512,377.891,5.571,0.046,0.001,78768.448,24002.404,9.615,0.001
ETCD,7,20,256,512,381.182,18.335,0.093,0.004,67921.331,1467.291,16.582,0.004
ETCD,7,20,512,512,382.980,30.972,0.187,0.015,41759.915,3131.306,20.391,0.015
ETCD,7,20,1024,512,373.235,18.165,0.364,0.018,24116.999,961.242,23.552,0.018
ETCD,7,20,2048,512,342.080,0.848,0.668,0.002,13087.398,236.470,25.561,0.002
ETCD,7,20,4096,512,325.779,1.117,1.273,0.004,6905.135,60.246,26.973,0.004
ETCD,7,25,128,512,464.211,9.179,0.057,0.001,65333.366,16715.702,7.975,0.001
ETCD,7,25,256,512,488.456,30.083,0.119,0.007,67404.823,2437.597,16.456,0.007
ETCD,7,25,512,512,455.743,1.418,0.223,0.001,39447.568,3677.084,19.262,0.001
ETCD,7,25,1024,512,465.302,36.978,0.454,0.036,23952.780,1359.464,23.391,0.036
ETCD,7,25,2048,512,420.733,12.669,0.822,0.025,12873.182,217.113,25.143,0.025
ETCD,7,25,4096,512,404.590,45.105,1.580,0.176,6895.094,62.911,26.934,0.176
ETCD,7,30,128,512,548.172,16.370,0.067,0.002,75645.536,25761.083,9.234,0.002
ETCD,7,30,256,512,547.790,36.521,0.134,0.009,58760.336,1402.311,14.346,0.009
ETCD,7,30,512,512,555.981,43.389,0.271,0.021,43050.001,2180.510,21.021,0.021
ETCD,7,30,1024,512,515.460,2.332,0.503,0.002,22455.212,1270.503,21.929,0.002
ETCD,7,30,2048,512,469.735,2.621,0.917,0.005,12929.535,326.392,25.253,0.005
ETCD,7,30,4096,512,441.497,6.757,1.725,0.026,6864.857,43.856,26.816,0.026
Zookeeper,1,1,128,512,1135.790,5.444,0.139,0.001,5805.174,115.055,0.709,0.001
Zookeeper,1,1,256,512,1134.132,9.854,0.277,0.002,5783.890,81.057,1.412,0.002
Zookeeper,1,1,512,512,1123.328,35.395,0.549,0.017,5534.309,263.538,2.702,0.017
Zookeeper,1,1,1024,512,1143.657,8.743,1.117,0.009,5716.305,110.874,5.582,0.009
Zookeeper,1,1,2048,512,1155.013,22.075,2.256,0.043,5193.600,66.876,10.144,0.043
Zookeeper,1,1,4096,512,1124.873,6.440,4.394,0.025,5381.446,23.076,21.021,0.025
Zookeeper,1,5,128,512,2300.365,28.672,0.281,0.004,11209.247,888.167,1.368,0.004
Zookeeper,1,5,256,512,2292.125,37.352,0.560,0.009,11841.921,140.558,2.891,0.009
Zookeeper,1,5,512,512,2277.921,55.941,1.112,0.027,10916.312,868.056,5.330,0.027
Zookeeper,1,5,1024,512,2368.508,15.607,2.313,0.015,10416.872,225.853,10.173,0.015
Zookeeper,1,5,2048,512,2410.166,65.254,4.707,0.127,9957.694,266.977,19.449,0.127
Zookeeper,1,5,4096,512,2315.449,37.111,9.045,0.145,10978.206,488.000,42.884,0.145
Zookeeper,1,10,128,512,2510.444,63.238,0.306,0.008,11817.854,70.320,1.443,0.008
Zookeeper,1,10,256,512,2502.143,66.789,0.611,0.016,11895.811,148.948,2.904,0.016
Zookeeper,1,10,512,512,2539.656,35.308,1.240,0.017,11222.526,697.770,5.480,0.017
Zookeeper,1,10,1024,512,2530.951,32.315,2.472,0.032,11821.662,163.018,11.545,0.032
Zookeeper,1,10,2048,512,2618.229,157.817,5.114,0.308,10257.564,163.199,20.034,0.308
Zookeeper,1,10,4096,512,2521.810,48.235,9.851,0.188,11257.026,203.524,43.973,0.188
Zookeeper,1,15,128,512,2595.125,52.578,0.317,0.006,11711.498,114.019,1.430,0.006
Zookeeper,1,15,256,512,2574.279,96.145,0.628,0.023,11803.564,126.125,2.882,0.023
Zookeeper,1,15,512,512,2580.791,109.571,1.260,0.054,11181.792,669.658,5.460,0.054
Zookeeper,1,15,1024,512,2591.633,41.474,2.531,0.041,11907.925,103.923,11.629,0.041
Zookeeper,1,15,2048,512,1323.783,1376.217,2.586,2.688,10065.632,99.421,19.659,2.688
Zookeeper,1,15,4096,512,2604.439,22.282,10.174,0.087,11149.336,176.074,43.552,0.087
Zookeeper,1,20,128,512,2598.715,48.203,0.317,0.006,11590.187,421.733,1.415,0.006
Zookeeper,1,20,256,512,2602.289,76.450,0.635,0.019,11972.765,170.341,2.923,0.019
Zookeeper,1,20,512,512,2626.680,30.466,1.283,0.015,11210.995,730.471,5.474,0.015
Zookeeper,1,20,1024,512,2605.191,60.235,2.544,0.059,11996.337,291.475,11.715,0.059
Zookeeper,1,20,2048,512,2718.005,170.983,5.309,0.334,10081.654,63.345,19.691,0.334
Zookeeper,1,20,4096,512,2620.329,36.345,10.236,0.142,11496.964,223.518,44.910,0.142
Zookeeper,1,25,128,512,2650.778,53.055,0.324,0.006,11859.026,159.305,1.448,0.006
Zookeeper,1,25,256,512,2602.336,93.537,0.635,0.023,11932.108,194.601,2.913,0.023
Zookeeper,1,25,512,512,2652.365,32.872,1.295,0.016,11288.759,884.052,5.512,0.016
Zookeeper,1,25,1024,512,1292.562,1309.838,1.262,1.279,11826.120,133.578,11.549,1.279
Zookeeper,1,25,2048,512,2753.210,101.073,5.377,0.197,10120.666,172.114,19.767,0.197
Zookeeper,1,25,4096,512,2661.315,20.864,10.396,0.081,11240.065,171.426,43.907,0.081
Zookeeper,1,30,128,512,2620.216,56.857,0.320,0.007,11863.593,233.533,1.448,0.007
Zookeeper,1,30,256,512,2590.033,75.047,0.632,0.018,11800.877,97.591,2.881,0.018
